product_id,name,description,price,stock
3,Cokelat Bubuk,Coklat bubuk premium 200g,65000.00,40
4,Gula Aren,Gula aren kemasan 500g,30000.00,25
1,Kopi Arabika,Kopi arabika premium 250g,75000.00,30
10,Produk 10,Deskripsi produk 10,73882.86,80
100,Produk 100,Deskripsi produk 100,20691.66,57
11,Produk 11,Deskripsi produk 11,16436.05,78
12,Produk 12,Deskripsi produk 12,11714.23,15
13,Produk 13,Deskripsi produk 13,91806.53,31
14,Produk 14,Deskripsi produk 14,72510.20,81
15,Produk 15,Deskripsi produk 15,59356.15,21
16,Produk 16,Deskripsi produk 16,15861.38,57
17,Produk 17,Deskripsi produk 17,34206.33,65
18,Produk 18,Deskripsi produk 18,92922.37,35
19,Produk 19,Deskripsi produk 19,40521.26,31
20,Produk 20,Deskripsi produk 20,81066.23,31
21,Produk 21,Deskripsi produk 21,37831.04,16
22,Produk 22,Deskripsi produk 22,81802.69,37
23,Produk 23,Deskripsi produk 23,39849.61,29
24,Produk 24,Deskripsi produk 24,81097.43,49
25,Produk 25,Deskripsi produk 25,47794.25,85
26,Produk 26,Deskripsi produk 26,71607.99,89
27,Produk 27,Deskripsi produk 27,51370.18,59
28,Produk 28,Deskripsi produk 28,81365.07,10
29,Produk 29,Deskripsi produk 29,39659.83,21
30,Produk 30,Deskripsi produk 30,19136.14,32
31,Produk 31,Deskripsi produk 31,13164.98,87
32,Produk 32,Deskripsi produk 32,14775.00,26
33,Produk 33,Deskripsi produk 33,52273.59,65
34,Produk 34,Deskripsi produk 34,46635.37,40
35,Produk 35,Deskripsi produk 35,34890.92,82
36,Produk 36,Deskripsi produk 36,23652.26,33
37,Produk 37,Deskripsi produk 37,25254.91,16
38,Produk 38,Deskripsi produk 38,84728.27,26
39,Produk 39,Deskripsi produk 39,75085.99,34
40,Produk 40,Deskripsi produk 40,33951.02,62
41,Produk 41,Deskripsi produk 41,47163.76,24
42,Produk 42,Deskripsi produk 42,65896.89,30
43,Produk 43,Deskripsi produk 43,17653.08,59
44,Produk 44,Deskripsi produk 44,33166.79,89
45,Produk 45,Deskripsi produk 45,67393.82,60
46,Produk 46,Deskripsi produk 46,87955.57,61
47,Produk 47,Deskripsi produk 47,67644.03,74
48,Produk 48,Deskripsi produk 48,55031.72,53
49,Produk 49,Deskripsi produk 49,51671.14,78
5,Produk 5,Deskripsi produk 5,21939.00,88
50,Produk 50,Deskripsi produk 50,44866.88,36
51,Produk 51,Deskripsi produk 51,53114.49,37
52,Produk 52,Deskripsi produk 52,39591.01,10
53,Produk 53,Deskripsi produk 53,43239.35,67
54,Produk 54,Deskripsi produk 54,32112.70,69
55,Produk 55,Deskripsi produk 55,89455.43,28
56,Produk 56,Deskripsi produk 56,13406.74,39
57,Produk 57,Deskripsi produk 57,58103.07,12
58,Produk 58,Deskripsi produk 58,33889.05,51
59,Produk 59,Deskripsi produk 59,52795.74,52
6,Produk 6,Deskripsi produk 6,26057.26,79
60,Produk 60,Deskripsi produk 60,31604.49,25
61,Produk 61,Deskripsi produk 61,76987.07,41
62,Produk 62,Deskripsi produk 62,37092.02,23
63,Produk 63,Deskripsi produk 63,51835.33,61
64,Produk 64,Deskripsi produk 64,40005.76,86
65,Produk 65,Deskripsi produk 65,78607.46,84
66,Produk 66,Deskripsi produk 66,83101.39,86
67,Produk 67,Deskripsi produk 67,51195.12,66
68,Produk 68,Deskripsi produk 68,64574.15,13
69,Produk 69,Deskripsi produk 69,38933.75,49
7,Produk 7,Deskripsi produk 7,22858.37,64
70,Produk 70,Deskripsi produk 70,66657.77,55
71,Produk 71,Deskripsi produk 71,99779.31,81
72,Produk 72,Deskripsi produk 72,37772.71,55
73,Produk 73,Deskripsi produk 73,35818.23,49
74,Produk 74,Deskripsi produk 74,22910.88,23
75,Produk 75,Deskripsi produk 75,51275.72,40
76,Produk 76,Deskripsi produk 76,36593.24,77
77,Produk 77,Deskripsi produk 77,65161.85,12
78,Produk 78,Deskripsi produk 78,14397.04,83
79,Produk 79,Deskripsi produk 79,32402.26,30
8,Produk 8,Deskripsi produk 8,17461.69,75
80,Produk 80,Deskripsi produk 80,93882.09,76
81,Produk 81,Deskripsi produk 81,24791.86,43
82,Produk 82,Deskripsi produk 82,81211.98,26
83,Produk 83,Deskripsi produk 83,15468.62,22
84,Produk 84,Deskripsi produk 84,94934.02,26
85,Produk 85,Deskripsi produk 85,52123.29,88
86,Produk 86,Deskripsi produk 86,19420.89,19
87,Produk 87,Deskripsi produk 87,14805.01,62
88,Produk 88,Deskripsi produk 88,81872.36,43
89,Produk 89,Deskripsi produk 89,17805.58,52
9,Produk 9,Deskripsi produk 9,48506.56,64
90,Produk 90,Deskripsi produk 90,44943.46,64
91,Produk 91,Deskripsi produk 91,27217.31,82
92,Produk 92,Deskripsi produk 92,79983.74,56
93,Produk 93,Deskripsi produk 93,37194.36,31
94,Produk 94,Deskripsi produk 94,19428.78,34
95,Produk 95,Deskripsi produk 95,75034.19,74
96,Produk 96,Deskripsi produk 96,64731.24,24
97,Produk 97,Deskripsi produk 97,15226.36,60
98,Produk 98,Deskripsi produk 98,11295.69,41
99,Produk 99,Deskripsi produk 99,17853.79,68
2,Teh Hijau,Teh hijau organik 100g,45000.00,50
